Gradient,Gio mean,G,a,vmg,mvg,RSS
4.219476905591766,0.0639277949393675,0.54,0.0,4.324539815332276e-07,0.0727228934786514,184.67718598385548
4.443618063356848,0.0932457109913438,0.54,0.05,4.482152918021206e-07,0.07332132541398305,263.813445354397
4.626585572560368,0.0787189871933038,0.54,0.1,7.236557595290521e-07,0.07245608962244597,210.50099998706938
4.706606164108566,0.0792039929316836,0.54,0.15,5.050423553119457e-07,0.0736976633939384,209.788351607835
4.400999702793745,0.0928305477679572,0.54,0.2,8.703156427074404e-07,0.07282356821154592,231.02264510531194
4.253257947968164,0.085465252385375,0.54,0.25,6.226402173395533e-07,0.07227279246036666,229.21170028211182
5.009361577660653,0.1052937659094545,0.54,0.3,5.202528226252344e-07,0.07467925738381855,268.1849725477881
4.501854894704156,0.1028579973464512,0.54,0.35,2.9909728288821496e-07,0.0727031470195062,223.08449434624873
4.538275119993848,0.1026473277599254,0.54,0.4,4.823383796370982e-07,0.07304166850084007,240.9193138367153
4.419906577421044,0.0922660384841078,0.54,0.45,4.746112994359945e-07,0.07363148662812112,212.70873305199552
4.761825143004991,0.1311133571581689,0.54,0.5,4.3743352834140643e-07,0.07407142092929687,280.10964632239086
4.922481751444875,0.0896327764589261,0.54,0.55,4.495147470298213e-07,0.07378299165679,215.3856928631808
4.729879346293207,0.0965345521659709,0.54,0.6,3.039178714156932e-06,0.07416658650553552,216.7553073768128
4.987185362597109,0.0779115326914122,0.54,0.65,5.159003912401984e-07,0.07274030569064134,214.0035708814402
4.842415164699409,0.0979155945731812,0.54,0.7,6.271162101281338e-07,0.07325575899311801,217.89885647519023
5.140502979196779,0.1019570956120994,0.54,0.75,1.444500992222711e-06,0.07421783790687571,229.22641176593797
4.931547114113377,0.1218071053704442,0.54,0.8,4.778676439876534e-07,0.07390118090340123,265.9299341322336
4.853518633004141,0.0788774311523759,0.54,0.85,8.764372265484479e-07,0.07380093027393632,223.44116114304128
4.667761955695736,0.1131191628757878,0.54,0.9,1.1516068273649795e-06,0.0740087904758285,251.40163669701369
4.894489128628358,0.0801535914454606,0.54,0.95,6.626580061713496e-07,0.07471633828840703,212.03167079868444
